time,price,trade,amount
2017/6/20,3546.494,8050955900.00 ,98187595478.30 
2017/6/19,3553.6653,7979714100.00 ,98572358252.00 
2017/6/16,3518.7611,7645270700.00 ,91462286376.50 
2017/6/15,3528.7926,8263253500.00 ,106053901141.00 
2017/6/14,3535.2987,8381078300.00 ,106105319868.00 
2017/6/13,3582.2674,7517713800.00 ,94223084812.30 
2017/6/12,3574.3894,9038116700.00 ,117690802224.00 
2017/6/9,3576.1703,10118826500.00 ,121700586716.00 
2017/6/8,3560.9786,9022490500.00 ,112035619671.00 
2017/6/7,3533.8718,10441996800.00 ,124189288483.00 
2017/6/6,3492.8816,6408938800.00 ,77868793729.60 
2017/6/5,3468.7538,7973815200.00 ,85609467477.10 
2017/6/2,3486.5074,8266801000.00 ,92850747181.00 
2017/6/1,3497.7382,10312772400.00 ,116088766249.00 
2017/5/31,3492.8845,10482974400.00 ,115968725310.00 
2017/5/26,3480.4345,10324115300.00 ,112585907354.00 
2017/5/25,3485.6581,13072163100.00 ,136634020807.00 
2017/5/24,3424.1669,8355316100.00 ,92620045547.90 
2017/5/23,3424.194,11691103300.00 ,126767856025.00 
2017/5/22,3411.2387,9253955900.00 ,99021121578.00 
2017/5/19,3403.8492,7147352500.00 ,78397081602.20 
2017/5/18,3398.1127,8575958900.00 ,88091166041.40 
2017/5/17,3409.9656,9973683700.00 ,110553451835.00 
2017/5/16,3428.6491,10524241600.00 ,112814103201.00 
2017/5/15,3399.1937,8297761100.00 ,92183332845.40 
2017/5/12,3385.3787,9338646600.00 ,97522124594.30 
2017/5/11,3356.6459,10925289000.00 ,111576379054.00 
2017/5/10,3337.7007,9208262800.00 ,102194980791.00 
2017/5/9,3352.5324,7677166800.00 ,85528831748.90 
2017/5/8,3358.8125,12374928700.00 ,126885426472.00 
2017/5/5,3382.5502,10989533300.00 ,117464939578.00 
2017/5/4,3404.3864,10348207500.00 ,106985952575.00 
2017/5/3,3413.1282,9166962400.00 ,97854119098.40 
2017/5/2,3426.5766,9279746200.00 ,101635858602.00 
